task,dataset,method,seed,n_train,n_test,preprocess_seconds,model_seconds,rmse,r2,accuracy,macro_f1,silhouette,ari,model_warning
classification,breast_cancer,standard,73,455,114,0.087260167,0.001105292,,,0.956140350877,0.95157590689,,,
classification,breast_cancer,robust,73,455,114,0.145805958,0.000739375,,,0.947368421053,0.941538461538,,,
classification,breast_cancer,yeo-johnson,73,455,114,1.357696750,0.000911792,,,0.973684210526,0.971277399849,,,
classification,breast_cancer,none,101,455,114,0.000000000,0.001203041,,,0.929824561404,0.923822251921,,,
classification,breast_cancer,standard,101,455,114,0.079074500,0.000671000,,,0.938596491228,0.932980599647,,,
classification,breast_cancer,robust,101,455,114,0.153031750,0.000620958,,,0.938596491228,0.933693394267,,,
classification,breast_cancer,yeo-johnson,101,455,114,1.334106625,0.000657375,,,0.956140350877,0.952638138762,,,
classification,breast_cancer,none,149,455,114,0.000000000,0.001230542,,,0.90350877193,0.889173663279,,,
classification,breast_cancer,standard,149,455,114,0.080307334,0.000915958,,,0.947368421053,0.94222972973,,,
classification,breast_cancer,robust,149,455,114,0.173434500,0.000599500,,,0.956140350877,0.952128999748,,,
classification,breast_cancer,yeo-johnson,149,455,114,1.303638750,0.000557917,,,0.947368421053,0.94222972973,,,
classification,wine,none,13,142,36,0.000000000,0.001811834,,,0.638888888889,0.610657390603,,,
classification,wine,standard,13,142,36,0.075066167,0.001232667,,,0.972222222222,0.974320987654,,,
classification,wine,robust,13,142,36,0.127525875,0.001354375,,,0.944444444444,0.948717948718,,,
classification,wine,yeo-johnson,13,142,36,0.828938334,0.001095041,,,0.944444444444,0.948717948718,,,
classification,wine,box-cox,13,142,36,0.418013292,0.001252959,,,0.944444444444,0.948717948718,,,
classification,wine,none,37,142,36,0.000000000,0.002236584,,,0.583333333333,0.570061050061,,,
classification,wine,standard,37,142,36,0.073504583,0.001490708,,,0.972222222222,0.974320987654,,,
classification,wine,robust,37,142,36,0.130204833,0.001177375,,,0.972222222222,0.974320987654,,,
classification,wine,yeo-johnson,37,142,36,0.899039042,0.001142333,,,0.972222222222,0.974320987654,,,
classification,wine,box-cox,37,142,36,0.448556416,0.001004583,,,0.972222222222,0.974320987654,,,
classification,wine,none,73,142,36,0.000000000,0.002255500,,,0.75,0.745120772947,,,
classification,wine,standard,73,142,36,0.076948375,0.001572417,,,1,1,,,
classification,wine,robust,73,142,36,0.131627125,0.001020958,,,1,1,,,
classification,wine,yeo-johnson,73,142,36,0.820331334,0.001199375,,,1,1,,,
classification,wine,box-cox,73,142,36,0.582573666,0.001102417,,,1,1,,,
classification,wine,none,101,142,36,0.000000000,0.001979625,,,0.611111111111,0.594547964113,,,
classification,wine,standard,101,142,36,0.070991542,0.001267167,,,0.916666666667,0.918485958486,,,
classification,wine,robust,101,142,36,0.132000875,0.001057041,,,0.888888888889,0.891534391534,,,
classification,wine,yeo-johnson,101,142,36,0.915590959,0.001029833,,,0.916666666667,0.918485958486,,,
classification,wine,box-cox,101,142,36,0.492871375,0.001216208,,,0.916666666667,0.918485958486,,,
classification,wine,none,149,142,36,0.000000000,0.001919917,,,0.722222222222,0.703453791173,,,
classification,wine,standard,149,142,36,0.073327042,0.001205042,,,1,1,,,
classification,wine,robust,149,142,36,0.125540208,0.001076042,,,1,1,,,
classification,wine,yeo-johnson,149,142,36,0.861474416,0.001081208,,,1,1,,,
classification,wine,box-cox,149,142,36,0.480539083,0.001017917,,,1,1,,,
clustering,iris,none,13,150,150,0.000000000,0.007940584,,,,,0.552819012356,0.730238272283,
clustering,iris,standard,13,150,150,0.064821208,0.004601583,,,,,0.459948239205,0.620135180887,
clustering,iris,robust,13,150,150,0.123787417,0.004416250,,,,,0.44364013113,0.580252001964,
clustering,iris,yeo-johnson,13,150,150,0.399135167,0.004263709,,,,,0.45719658092,0.641005862178,
clustering,iris,box-cox,13,150,150,0.278151334,0.005360500,,,,,0.461466685794,0.610072850529,
clustering,iris,none,37,150,150,0.000000000,0.005577417,,,,,0.552819012356,0.730238272283,
clustering,iris,standard,37,150,150,0.065122042,0.004160917,,,,,0.459948239205,0.620135180887,
clustering,iris,robust,37,150,150,0.122769500,0.005303500,,,,,0.44364013113,0.580252001964,
clustering,iris,yeo-johnson,37,150,150,0.425013875,0.004980708,,,,,0.45719658092,0.641005862178,
clustering,iris,box-cox,37,150,150,0.266913875,0.005318458,,,,,0.460686359493,0.619924331781,
clustering,iris,none,73,150,150,0.000000000,0.005817792,,,,,0.552819012356,0.730238272283,
clustering,iris,standard,73,150,150,0.064053000,0.004129417,,,,,0.459948239205,0.620135180887,
clustering,iris,robust,73,150,150,0.119629416,0.004913041,,,,,0.44364013113,0.580252001964,
clustering,iris,yeo-johnson,73,150,150,0.413509791,0.004293125,,,,,0.45719658092,0.641005862178,
clustering,iris,box-cox,73,150,150,0.278163375,0.004793417,,,,,0.460686359493,0.619924331781,
clustering,iris,none,101,150,150,0.000000000,0.005509375,,,,,0.552819012356,0.730238272283,
clustering,iris,standard,101,150,150,0.064656333,0.004528792,,,,,0.459948239205,0.620135180887,
clustering,iris,robust,101,150,150,0.114536917,0.004951125,,,,,0.44364013113,0.580252001964,
clustering,iris,yeo-johnson,101,150,150,0.403399667,0.005016583,,,,,0.45719658092,0.641005862178,
clustering,iris,box-cox,101,150,150,0.260628833,0.004557667,,,,,0.460686359493,0.619924331781,
clustering,iris,none,149,150,150,0.000000000,0.005413208,,,,,0.552819012356,0.730238272283,
clustering,iris,standard,149,150,150,0.067270334,0.004623334,,,,,0.459948239205,0.620135180887,
clustering,iris,robust,149,150,150,0.114629500,0.004586000,,,,,0.44364013113,0.580252001964,
clustering,iris,yeo-johnson,149,150,150,0.414832708,0.004490916,,,,,0.45719658092,0.641005862178,
clustering,iris,box-cox,149,150,150,0.253336917,0.005069542,,,,,0.460686359493,0.619924331781,
clustering,seeds,none,13,210,210,0.000000000,0.006007583,,,,,0.471933731913,0.716619855736,
clustering,seeds,standard,13,210,210,0.070272333,0.005007667,,,,,0.400727055275,0.773293736081,
clustering,seeds,robust,13,210,210,0.120306750,0.004794708,,,,,0.391330299853,0.772153389075,
clustering,seeds,yeo-johnson,13,210,210,0.633753083,0.005075708,,,,,0.402888142425,0.775859886135,
clustering,seeds,box-cox,13,210,210,0.274078375,0.004368750,,,,,0.402849450092,0.775859886135,
clustering,seeds,none,37,210,210,0.000000000,0.005422000,,,,,0.471933731913,0.716619855736,
clustering,seeds,standard,37,210,210,0.068561833,0.005140833,,,,,0.400727055275,0.773293736081,
clustering,seeds,robust,37,210,210,0.118536500,0.004629083,,,,,0.391330299853,0.772153389075,
clustering,seeds,yeo-johnson,37,210,210,0.617645125,0.005134166,,,,,0.402888142425,0.775859886135,
clustering,seeds,box-cox,37,210,210,0.274167084,0.004941083,,,,,0.402849450092,0.775859886135,
clustering,seeds,none,73,210,210,0.000000000,0.005620917,,,,,0.471933731913,0.716619855736,
clustering,seeds,standard,73,210,210,0.072142666,0.005971208,,,,,0.400727055275,0.773293736081,
clustering,seeds,robust,73,210,210,0.123729125,0.004840125,,,,,0.391330299853,0.772153389075,
clustering,seeds,yeo-johnson,73,210,210,0.652375375,0.004878250,,,,,0.402888142425,0.775859886135,
clustering,seeds,box-cox,73,210,210,0.283223833,0.004633875,,,,,0.402849450092,0.775859886135,
clustering,seeds,none,101,210,210,0.000000000,0.005648500,,,,,0.471933731913,0.716619855736,
clustering,seeds,standard,101,210,210,0.066473750,0.006633583,,,,,0.400727055275,0.773293736081,
clustering,seeds,robust,101,210,210,0.124048125,0.004957875,,,,,0.391330299853,0.772153389075,
clustering,seeds,yeo-johnson,101,210,210,0.652942209,0.005593334,,,,,0.402888142425,0.775859886135,
clustering,seeds,box-cox,101,210,210,0.276464167,0.004958792,,,,,0.402849450092,0.775859886135,
clustering,seeds,none,149,210,210,0.000000000,0.005460875,,,,,0.471933731913,0.716619855736,
clustering,seeds,standard,149,210,210,0.070666292,0.005302375,,,,,0.400727055275,0.773293736081,
clustering,seeds,robust,149,210,210,0.125403375,0.005329667,,,,,0.391330299853,0.772153389075,
clustering,seeds,yeo-johnson,149,210,210,0.646694667,0.004694292,,,,,0.402888142425,0.775859886135,
clustering,seeds,box-cox,149,210,210,0.286238792,0.004798167,,,,,0.402849450092,0.775859886135,
